#
#
# US Geological Survey
# retrieved: 2023-11-20 15:48:54 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#
#
# query started 2023-11-20 15:48:54 EST
#
# there are 1968 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	coord_datum_cd
5s	15s	50s	7s	16n	16n	1s	10s
USGS	06610000	Missouri River at Omaha, NE	ST	41.25905556	-95.92325000	F	NAD83
USGS	06610490	Missouri River at Hwy 92 at Omaha, Nebr.	ST	41.21147220	-95.92680560	S	NAD83
USGS	06610504	Indian Creek at US Hwy 275 at Council Bluffs, IA	ST	41.21961110	-95.86838890	1	NAD83
USGS	0661050450	Indian Cr Lk Manawa Ft Brdge at Council Bluffs, IA	ST	41.19722220	-95.87361110	S	NAD83
USGS	06610505	Missouri River near Council Bluffs, IA	ST	41.18916667	-95.86250000	S	NAD83
USGS	06610650	Mosquito Creek near Council Bluffs, IA	ST	41.26916455	-95.80639950	U	NAD27
USGS	06610657	Little Pony Creek at Council Bluffs, IA	ST	41.22878330	-95.81873330	S	NAD83
USGS	06610658	Mosquito Cr upstream of I-29 at Council Bluffs, IA	ST	41.21797220	-95.82763890	1	NAD83
USGS	06610660	Pony Creek Trib No 1 near Council Bluffs, IA	ST	41.24416480	-95.75556470	U	NAD27
USGS	06610663	Pony Creek Trib No 2 near Council Bluffs, IA	ST	41.22749820	-95.74639750	U	NAD27
USGS	06610665	Pony Creek Trib No 3 near Council Bluffs, IA	ST	41.21555396	-95.78000940	U	NAD27
USGS	06610670	Missouri River at Hwy 370 at Bellevue, Nebr.	ST	41.13836110	-95.87972220	S	NAD83
USGS	06610685	Offutt Ditch (Bellevue Drain) nr Offutt AFB, Nebr.	ST	41.11819444	-95.87872220	S	NAD83
USGS	06610770	Big Papillion Creek at Q Street at Omaha, Nebr.	ST	41.20541556	-96.01668260	5	NAD27
USGS	06610795	Papillion Creek at Fort Crook, Nebr.	ST	41.11783330	-95.93766670	1	NAD83
USGS	06610798	Papillion Cr at Harlan Lewis Rd nr La Platte, Nebr	ST	41.08210556	-95.88975560	C	NAD83
USGS	06610800	Missouri River at Hwy 34 near La Platte, Nebr.	ST	41.06833330	-95.87972220	S	NAD83
USGS	06805565	FOURMILE CREEK NEAR PLATTSMOUTH, NEBR.	ST	41.01722118	-95.96306700	F	NAD27
USGS	06805570	Platte River at La Platte, Nebr.	ST	41.05786110	-95.92800000	S	NAD83
USGS	06805600	Missouri River at Plattsmouth, NE	ST	41.00111040	-95.86667510	1	NAD27
USGS	06805800	Keg Creek near Dumfries, IA	ST	41.18888660	-95.68333970	U	NAD27
USGS	06805849	Keg Creek Tributary near Mineola, IA	ST	41.13138749	-95.72556200	F	NAD27
USGS	06805850	Keg Creek at Epperson Avenue near Glenwood, IA	ST	41.10211110	-95.71841670	1	NAD83
USGS	06805900	Keg Creek near Glenwood, IA	ST	41.01555510	-95.76667240	U	NAD27
USGS	06806000	Waubonsie Creek near Bartlett, IA	ST	40.88472240	-95.74611350	U	NAD27
USGS	06806200	Township Ditch Tributary near Thurman, IA	ST-DCH	40.83972288	-95.80861440	F	NAD27
USGS	06806495	S BR WEEPING WATER CREEK NEAR UNION NEBR	ST	40.81250166	-95.94556240	F	NAD27
