Index,Reference Paper,Year,Country,Type,Depth,Surface Area,Flow,Hydraulic Residence Time (tau),L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR,,,,,,,,,,,,,
1,Seitzinger,2006,Canada,Lake,8.5,5.24E+05,8.32E+05,1.95E+03,2.22E+00,5.95E-01,6.75E-04,1.40E-03,1.55E+00,2.01E-01,1.05E-03,3.45E-03,,,,,,,,,,,,,,,,,,,,,
2,,,Canada,Lake,8.9,3.44E+05,1.52E+06,7.37E+02,1.46E+00,3.91E-01,1.79E-03,3.71E-03,2.83E+00,3.66E-01,2.78E-03,9.13E-03,,,,,,,,,,,,,,,,,,,,,
3,,,Canada,Lake,9.2,5.67E+05,3.26E+06,5.84E+02,2.41E+00,6.45E-01,2.26E-03,4.68E-03,6.08E+00,7.87E-01,3.50E-03,1.15E-02,,,,,,,,,,,,,,,,,,,,,
4,,,Canada,Lake,5,9.36E+05,2.60E+06,6.56E+02,3.97E+00,1.06E+00,2.01E-03,4.17E-03,4.85E+00,6.27E-01,3.11E-03,1.02E-02,,,,,,,,,,,,,,,,,,,,,
5,,,Canada,Lake,13.3,7.14E+05,3.04E+06,1.14E+03,3.03E+00,8.12E-01,1.16E-03,2.40E-03,5.67E+00,7.33E-01,1.79E-03,5.90E-03,,,,,,,,,,,,,,,,,,,,,
6,,,Canada,Lake,7.9,3.21E+05,6.69E+05,1.39E+03,1.36E+00,3.65E-01,9.51E-04,1.97E-03,1.25E+00,1.61E-01,1.47E-03,4.85E-03,,,,,,,,,,,,,,,,,,,,,
7,,,Canada,Lake,14.2,5.71E+05,3.30E+06,8.98E+02,2.43E+00,6.50E-01,1.47E-03,3.04E-03,6.14E+00,7.95E-01,2.28E-03,7.49E-03,,,,,,,,,,,,,,,,,,,,,
8,Kelly et al.,1987,,Lake,7.1,,-9.99E+02,2.19E+01,,,3.31E-03,3.44E-03,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Norway,Lake,2.4,,-9.99E+02,7.30E+01,,,6.11E-03,7.71E-03,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Canada,Lake,12.4,,-9.99E+02,8.58E+02,,,1.01E-03,1.61E-03,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Canada,Lake,8,,-9.99E+02,1.40E+03,,,1.19E-03,3.05E-03,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Canada,Lake,5.7,,-9.99E+02,2.12E+03,,,5.69E-04,1.10E-03,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Canada,Lake,10.9,,-9.99E+02,2.26E+03,,,9.37E-04,3.24E-03,,,,,,,,,,,,,,,,,,,,,,,,,
