meta_analysis,references,study_area,longitude,latitude,water_body_type,hrt_d,water_depth_m,surface_area_m2,k_d,TN_retention_percent,temperature,cheng_cstr_k,cheng_N_load_kg_d,cheng_flow_m3_year
cheng,Abe et al 2008,Japan,,,CWSF,1.90E+00,0.1,4.80E+02,0.303,,,4.09E-01,4.83E-01,9.60E+03
shen,"Ai et al., 2020",Jiangsu,118.9,33.3,wetland,4,1.3,0.28,0.026,10,29.1,,,
cheng,Akratos  2007,Greece,,,CWUF,6.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,6.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,6.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,6.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,6.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,8.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,8.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,8.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,8.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,8.00E+00,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,1.40E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,1.40E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,1.40E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,1.40E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,1.40E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,2.00E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,2.00E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,2.00E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,2.00E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Akratos  2007,Greece,,,CWUF,2.00E+01,0.45,2.25E+00,,,,,,-9.99E+02
cheng,Andersen et al 2003,USA,,,CWSF,1.39E+01,0.716666667,9.90E+04,0.115,,,2.84E-01,1.03E+02,1.90E+06
cheng,Andersen et al 2003,,,,CWSF,2.23E+01,1.15,9.90E+04,0.0819,,,2.34E-01,1.46E+02,1.90E+06
cheng,Ansola et al 2003,Spain,,,CWSF,1.60E+00,,3.30E+00,1.95,,,1.35E+01,,-9.99E+02
cheng,Arheimer et al  2002,Sweden,,,CWSF,1.10E+00,1,4.00E+03,0.135,,,1.45E-01,3.45E+01,1.45E+06
cheng,Arheimer et al  2002,Sweden,,,CWSF,6.00E-01,1.5,1.00E+04,0,,,0.00E+00,1.31E+02,8.72E+06
cheng,Arheimer et al  2002,Sweden,,,CWSF,8.00E-01,1.5,1.00E+03,0.0251,,,2.53E-02,2.52E+01,6.10E+05
cheng,Arheimer et al  2002,Sweden,,,CWSF,5.00E+00,2.1,3.00E+03,0.0209,,,2.21E-02,2.40E+01,5.12E+05
