"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","medium_cd","hyd_cond_cd","samp_type_cd","hyd_event_cd","dqi_cd","rpt_lev_cd","site"
1975-05-28,4.1,4.1,1,4.1,45802,5,149,1975.40353881279,1505,1975,0.56965293493984,-0.821885353145088,"WS","A","9","9","A",NA,"06805565"
1980-04-03,5.6,5.6,1,5.6,47574,4,94,1980.25489526412,1564,1980,0.999527014573898,-0.0307530020809428,"WS","A","9","9","A",NA,"06805565"
1980-07-30,4.4,4.4,1,4.4,47692,7,212,1980.5772996357,1567,1980,-0.466816848199469,-0.884354018613086,"WS","A","9","9","A",NA,"06805565"
1981-03-23,2.8,2.8,1,2.8,47928,3,83,1981.22271689498,1575,1981,0.985342714797635,0.170586442589168,"WS","A","9","9","A",NA,"06805565"
1973-03-30,5.9,5.9,1,5.9,45013,3,90,1973.24189497717,1479,1973,0.998703584048362,0.0509033516475808,"WS","A","9","9","A",NA,"06806495"
1973-06-14,7.7,7.7,1,7.7,45089,6,166,1973.45011415525,1482,1973,0.308334761482834,-0.951277916731658,"WS","A","9","9","A",NA,"06806495"
1973-09-26,0.88,0.88,1,0.88,45193,9,270,1973.7350456621,1485,1973,-0.995588923627305,-0.0938226792978355,"WS","A","9","9","A",NA,"06806495"
1974-04-25,3.1,3.1,1,3.1,45404,4,116,1974.31312785388,1492,1974,0.922362691140638,-0.386325078129548,"WS","A","9","9","A",NA,"06806495"
1974-05-30,2.7,2.7,1,2.7,45439,5,151,1974.40901826484,1493,1974,0.541024740608017,-0.841006676578746,"WS","A","9","9","A",NA,"06806495"
1974-06-26,NA,0.1,0,0.05,45466,6,178,1974.48299086758,1494,1974,0.106668207763248,-0.994294671338722,"WS","A","9","9","A",NA,"06806495"
1974-10-02,2.9,2.9,1,2.9,45564,10,276,1974.75148401826,1498,1975,-0.99995652845388,0.00932422664165202,"WS","A","9","9","A",NA,"06806495"
1975-05-28,3,3,1,3,45802,5,149,1975.40353881279,1505,1975,0.56965293493984,-0.821885353145088,"WS","A","9","9","A",NA,"06806495"
1980-04-03,3.8,3.8,1,3.8,47574,4,94,1980.25489526412,1564,1980,0.999527014573898,-0.0307530020809428,"WS","A","9","9","A",NA,"06806495"
1980-07-29,2,2,1,2,47691,7,211,1980.57456739526,1567,1980,-0.45156694896136,-0.892237238970516,"WS","A","9","9","A",NA,"06806495"
1981-03-23,1.3,1.3,1,1.3,47928,3,83,1981.22271689498,1575,1981,0.985342714797635,0.170586442589168,"WS","A","9","9","A",NA,"06806495"
1972-10-25,1.1,1.1,1,1.1,44857,10,299,1972.81500455373,1474,1973,-0.917743262130719,0.397174149226339,"WS","A","9","9","A",NA,"06806501"
1972-11-21,2.8,2.8,1,2.8,44884,11,326,1972.88877504554,1475,1973,-0.64333539592519,0.765584461930739,"WS","A","9","9","A",NA,"06806501"
1972-12-19,4.4,4.4,1,4.4,44912,12,354,1972.96527777778,1476,1973,-0.216439613938861,0.976296007119765,"WS","A","9","9","A",NA,"06806501"
1973-01-24,3.1,3.1,1,3.1,44948,1,24,1973.06381278539,1477,1973,0.39029092382248,0.920691585049953,"WS","A","9","9","A",NA,"06806501"
1973-02-22,3,3,1,3,44977,2,53,1973.14326484018,1478,1973,0.783426070610068,0.621484989270432,"WS","A","9","9","A",NA,"06806501"
1973-03-14,5,5,1,5,44997,3,74,1973.19805936073,1479,1973,0.947217942889547,0.320590344003207,"WS","A","9","9","A",NA,"06806501"
1973-05-01,5.2,5.2,1,5.2,45045,5,122,1973.32956621005,1481,1973,0.877616482930217,-0.47936344133569,"WS","A","9","9","A",NA,"06806501"
