"","vec"
"1",35575.3695906062
"2",35448.6951066205
"3",29384.2305811218
"4",23535.1134558534
"5",30611.0410263717
"6",17864.5419302833
"7",33446.7556780594
"8",51986.1680585282
"9",34917.7034661179
"10",28530.8449909631
"11",35550.2762578953
"12",26525.3952682267
"13",29609.2210300175
"14",23441.2097276493
"15",35911.523596076
"16",35819.7545105764
"17",27915.6881194235
"18",30815.473438851
"19",33245.6019899957
"20",30514.7061423771
"21",24712.5405019767
"22",36130.3559990366
"23",23113.0738508215
"24",48266.0471854964
"25",28689.9221560511
"26",26076.2712029718
"27",23315.102534387
"28",47453.4465856015
"29",32895.0896683641
"30",23133.5344296211
"31",27683.8659527205
"32",45169.522848965
"33",30388.3089559488
"34",29984.8621652707
"35",27845.9378343856
"36",46761.6982618208
"37",42485.5867919703
"38",38379.2188450271
"39",32122.8557477815
"40",21001.9587949534
"41",28121.6367001212
"42",26185.8548613607
"43",36476.3440966663
"44",34687.1098674974
"45",31057.131038752
"46",20649.0687134878
"47",30478.4783771511
"48",30963.4850675269
"49",25598.7704202125
"50",40488.1531023498
"51",30921.994986522
"52",21186.437561906
"53",31542.4130103763
"54",23567.7270124561
"55",23399.5327135406
"56",32574.180680198
"57",25070.6898815213
"58",30619.3554727835
"59",27099.5350828748
"60",39676.1772831632
"61",27408.5051866677
"62",24053.3369637352
"63",34353.9578021917
"64",59821.1359499811
"65",47258.2104179623
"66",29794.9628440673
"67",30831.8327505567
"68",28155.978108638
"69",26423.6131552392
"70",29906.7655031167
"71",40404.703222127
"72",30147.2408889286
"73",32127.4468376137
"74",32412.7465629585
"75",23551.4175200915
"76",28731.2806261677
"77",25367.913333635
"78",26119.7384112791
"79",16352.6097747636
"80",24000.466940831
"81",34705.4441786429
"82",27397.0170198896
"83",27593.1069681065
"84",33454.4408156367
"85",29215.8504871689
"86",38279.5274730951
"87",40712.9536312973
"88",24198.2065093151
"89",26995.9194519886
"90",39725.9672145979
"91",24086.5712445635
"92",28773.7730847046
"93",32513.2755922064
"94",18443.8105098873
"95",28560.7709165381
"96",29725.0879016668
"97",26452.2124234799
"98",44049.900319649
"99",27694.2340873978
"100",31312.0933048079
"101",26715.9672556491
"102",23401.2816952283
"103",26068.1496188654
"104",38597.3112145255
"105",30816.2502697823
"106",41060.1396041984
"107",26940.051680683
"108",31024.8574117391
"109",24133.5145349711
"110",41991.0889839211
"111",22028.7275586534
"112",23162.3472609282
"113",32015.3807196343
"114",26643.3802050374
"115",34579.3473999815
"116",29893.8108910577
"117",47358.3480304009
"118",20676.6500042234
"119",17358.0445792074
"120",24408.890315481
"121",33517.1597705218
"122",30968.1464658184
"123",25866.3689370799
"124",24145.3249457815
"125",33189.9616775138
"126",41748.9550924711
"127",35084.4325920577
"128",27063.3432497793
"129",26570.1112612196
"130",40806.0817555824
"131",26856.7168424506
"132",30596.4396914913
"133",36327.4506073208
"134",25241.0387622718
"135",25305.3933528549
"136",30706.7515433621
"137",22377.9603376511
"138",36204.0154329186
"139",24486.6570659534
"140",34979.4466727932
"141",31223.7600778449
"142",22798.9591150691
"143",28968.4087124594
"144",38077.422380055
"145",28967.022621076
"146",29523.0390105487
"147",30601.8634053469
"148",27882.7070686016
"149",27431.863185204
"150",25861.6705953207
"151",27129.2249789893
"152",26622.7137659006
"153",45677.8993068594
"154",38765.5357450432
"155",31718.5696746756
"156",32652.324301771
"157",31830.7441506361
"158",34884.0709377145
"159",36070.6063064496
"160",40496.8092659979
"161",48652.6685283384
"162",22365.1194255057
"163",45722.2366259001
"164",34080.8791219334
"165",33421.2420326767
"166",20401.5718455508
"167",39657.428365242
"168",41622.1414516066
"169",40483.0179871532
"170",29914.5731682366
"171",33998.9695001726
"172",26841.0832721782
"173",28402.9981481367
"174",33348.6716996075
"175",25193.7978839841
"176",32337.1172308841
"177",24826.2775117701
"178",30680.4349187758
"179",34684.115086654
"180",32980.940569468
"181",28708.8181418749
"182",27123.7950204048
"183",34563.3065577976
"184",45811.6643893004
"185",45442.5832131542
"186",39902.553986965
"187",21125.0636948675
"188",24011.1337723001
"189",30364.6710572858
"190",29549.9840732327
"191",27316.5436510384
"192",30074.0132303283
"193",46682.3912258295
"194",31695.2902505823
"195",27858.7102514337
"196",36035.7217130369
"197",34679.6699374932
"198",34491.2129363781
"199",33284.721586254
"200",23232.1492517407
"201",28212.7070623837
"202",37671.7592714514
"203",29011.8688662071
"204",35520.5122816442
"205",32793.8518861191
"206",27650.8386409117
"207",24684.0058654771
"208",41828.3474695017
"209",19886.2368008383
"210",36183.8590647541
"211",20790.8951488549
"212",18136.3882543442
"213",34296.2289536739
"214",28193.4780196994
"215",46014.9536228364
"216",34559.8565446029
"217",39614.9064914733
"218",28537.0813185938
"219",25023.42184881
"220",26839.4637670007
"221",25632.3983347828
"222",34659.9927114185
"223",28589.8148491702
"224",30611.4608855528
"225",29396.1630932332
"226",28192.9393269418
"227",26429.0613668973
"228",38719.8804357602
"229",43353.0182206009
"230",32786.2362613785
"231",32728.7039736538
"232",39012.0044852855
"233",30594.7324738351
"234",30371.917747843
"235",32330.7239682273
"236",26554.0647918309
"237",33743.6063078116
"238",31044.8079029924
"239",21243.6084938104
"240",32493.2582810353
"241",31794.8212641104
"242",26296.6972583322
"243",28781.012502299
"244",32249.8698251177
"245",28058.1223417355
"246",37420.3295173134
"247",24712.8745298687
"248",37589.3889203419
"249",38999.259549255
"250",32701.8026283122
"251",35082.9836361046
"252",29007.5802409998
"253",21107.1529861637
"254",31360.1718767447
"255",30004.5364082288
"256",36619.4388009636
"257",34768.9116431355
"258",25354.3797791998
"259",31943.3576214302
"260",43671.6639391407
"261",38303.6025944562
"262",29598.2298375666
"263",43469.8818982746
"264",21090.0497547194
"265",46966.7363734632
"266",48501.4529009313
"267",32465.2669414975
"268",28257.5169112234
"269",23398.9793823384
"270",23367.2277114075
"271",32500.3481429522
"272",24490.5595630434
"273",24908.363220749
"274",32234.4866055903
"275",54132.3112011299
"276",33455.5260693005
"277",20158.8504163413
"278",30216.3191428009
"279",30529.4420056341
"280",27447.0807193798
"281",54418.8913509779
"282",24066.129557777
"283",21648.9173298393
"284",26390.4327221394
"285",38561.1904772885
"286",25125.5307809743
"287",53093.3835733084
"288",37661.1629988717
"289",25071.4043681545
"290",29754.5908388936
"291",28642.8446643153
"292",23557.4664188078
"293",31549.2310587146
"294",33440.8340130455
"295",29596.8786145814
"296",22896.3191385171
"297",44367.8466820235
"298",36138.3884423
"299",19628.4154482909
"300",32925.0952991775
"301",33625.7185454147
"302",36496.1492214474
"303",28867.6920561286
"304",24294.6395922036
"305",32184.0104006906
"306",35170.0230497006
"307",27504.5278121564
"308",37902.06350926
"309",36929.5194474859
"310",29066.1983036602
"311",25870.7975708186
"312",26748.2740983356
"313",40437.2069762327
"314",39665.9327336501
"315",25733.8807180721
"316",25595.9048250571
"317",34825.6098210144
"318",21308.8601777545
"319",27703.1706138954
"320",24214.8912668652
"321",44920.4777868644
"322",25843.7039509264
"323",20290.2778462962
"324",33319.0547178515
"325",28598.5911741982
"326",32776.3748047863
"327",29726.0408085517
"328",28921.9605834495
"329",25395.6689963483
"330",45718.9314885338
"331",27886.079535748
"332",29156.8856648786
"333",35625.7736768249
"334",30904.9982230387
"335",32822.6179450644
"336",19566.3563093539
"337",35905.1902552763
"338",28265.1723129799
"339",30747.888864401
"340",36633.2349373107
"341",19321.4908653489
"342",21465.8436413947
"343",36052.5460429591
"344",22611.9536236047
"345",21844.5083251199
"346",31708.1936531391
"347",31441.7399349924
"348",18040.4060422506
"349",25763.1365680558
"350",25675.1794482376
"351",57844.5452823909
"352",21449.9047585819
"353",25924.4405790123
"354",32335.7892377342
"355",31388.059774261
"356",39805.4437478014
"357",28230.010407383
"358",58010.2422232441
"359",31190.4797764061
"360",30508.9605949701
"361",32525.34496383
"362",36095.717068935
"363",24566.79337204
"364",37650.7318236271
"365",36153.3273699265
"366",28690.3618416131
"367",33100.8965117097
"368",20907.1280506201
"369",32736.0074340917
"370",39071.6831686481
"371",35750.6505274774
"372",38895.1172905691
"373",48536.0120165352
"374",30402.7888344165
"375",39478.0584387333
"376",35701.7186619684
"377",30050.5566792672
"378",44351.3264310428
"379",23753.8274325534
"380",35700.9060914686
"381",41746.7924930851
"382",27513.8201542137
"383",24566.3479152427
"384",27369.3425887238
"385",38663.9275413936
"386",31040.8529560829
"387",21366.0393137924
"388",36717.1077885922
"389",31322.0795324036
"390",52189.1157837987
"391",25513.2195107054
"392",17925.9360656465
"393",37138.2190141831
"394",27214.6000033861
"395",30630.5171673239
"396",28146.8059775875
"397",26986.3827364709
"398",25859.911000511
"399",36221.2840967654
"400",27183.0229912601
"401",26449.5433563682
"402",36304.4162814474
"403",36857.5391339389
"404",24517.0290178546
"405",28390.1783446803
"406",31866.6175352929
"407",25348.7004621616
"408",19557.5261602524
"409",27984.5620540598
"410",30442.2564548637
"411",42662.4915499933
"412",28122.0904979729
"413",30280.8941328768
"414",34313.7705120904
"415",23824.6808372599
"416",20649.2680801401
"417",30369.4274329191
"418",24109.6001226205
"419",48635.5965828477
"420",39431.9721406124
"421",29260.8513236928
"422",20996.3040445719
"423",24535.806504921
"424",43978.0604571912
"425",25679.2781311763
"426",22549.8701373897
"427",36276.2253768234
"428",33579.1589890656
"429",30751.096232943
"430",24871.0156955626
"431",35209.0121015659
"432",48092.7494215756
"433",32070.8008451583
"434",31515.3844584521
"435",33810.7454042108
"436",34073.3554462776
"437",42431.5270105968
"438",37283.0674906949
"439",27565.4131451465
"440",26530.8045354474
"441",22863.5207846789
"442",24666.6688062782
"443",29713.2034994591
"444",41493.8041352548
"445",22935.1549255859
"446",29638.7092290593
"447",22874.9742138808
"448",37915.9222837584
"449",35079.9487032921
"450",41159.1618339302
"451",30369.621742511
"452",34186.9841293161
"453",36307.7375234929
"454",25876.9329156546
"455",43187.67687795
"456",31746.5564590705
"457",24976.2279779856
"458",25476.9382055776
"459",15656.910261066
"460",36807.9436773929
"461",50211.9908011705
"462",24550.9712910216
"463",28447.1692139662
"464",39938.9145839068
"465",27376.1566541436
"466",26397.4472640061
"467",35710.6621291117
"468",29715.7050827001
"469",29344.5225335139
"470",29116.815499335
"471",22397.4941323315
"472",18119.6175316413
"473",35447.5818324148
"474",27500.4318469273
"475",33870.0129228306
"476",35155.6863199871
"477",26731.7299485195
"478",29363.1699995914
"479",39819.961393596
"480",33716.463590771
"481",24758.058090887
"482",27024.3644347423
"483",30681.5458704468
"484",26641.8834238809
"485",27487.3613597514
"486",28153.6440912062
"487",32161.8386157929
"488",33081.2115331118
"489",24575.772392708
"490",33856.4461488496
