"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","medium_cd","hyd_cond_cd","samp_type_cd","hyd_event_cd","dqi_cd","rpt_lev_cd","site"
1978-06-28,9.2,9.2,1,9.2,46929,6,180,1978.48847031963,1542,1978,0.0723797712476886,-0.99737714467203,"WS","A","9","9","R",NA,"06610663"
1978-08-30,6.9,6.9,1,6.9,46992,8,243,1978.66107305936,1544,1978,-0.847921375536292,-0.530122005682317,"WS","A","9","9","R",NA,"06610663"
1979-05-02,16,16,1,16,47237,5,123,1979.33230593607,1553,1979,0.869235000934468,-0.494399143557566,"WS","A","9","9","R",NA,"06610663"
1979-07-08,11,11,1,11,47304,7,190,1979.51586757991,1555,1979,-0.0995338610913839,-0.995034175541846,"WS","A","9","9","R",NA,"06610663"
1978-06-28,7.8,7.8,1,7.8,46929,6,180,1978.48847031963,1542,1978,0.0723797712476886,-0.99737714467203,"WS","A","9","9","R",NA,"06610665"
1978-08-30,6.9,6.9,1,6.9,46992,8,243,1978.66107305936,1544,1978,-0.847921375536292,-0.530122005682317,"WS","A","9","9","R",NA,"06610665"
1979-05-02,26,26,1,26,47237,5,123,1979.33230593607,1553,1979,0.869235000934468,-0.494399143557566,"WS","A","9","9","R",NA,"06610665"
1979-07-08,23,23,1,23,47304,7,190,1979.51586757991,1555,1979,-0.0995338610913839,-0.995034175541846,"WS","A","9","9","R",NA,"06610665"
1975-05-28,7.5,7.5,1,7.5,45802,5,149,1975.40353881279,1505,1975,0.56965293493984,-0.821885353145088,"WS","A","9","9","A",NA,"06805565"
1975-06-26,7.3,7.3,1,7.3,45831,6,178,1975.48299086758,1506,1975,0.106668207762591,-0.994294671338792,"WS","A","9","9","A",NA,"06805565"
1976-05-07,6.2,6.2,1,6.2,46147,5,128,1976.34779143898,1517,1976,0.817095416758394,-0.576502454385431,"WS","A","9","9","A",NA,"06805565"
1976-11-02,3.1,3.1,1,3.1,46326,11,307,1976.83686247723,1523,1977,-0.854726277036616,0.519078983723215,"WS","A","9","9","A",NA,"06805565"
1977-05-21,3.4,3.4,1,3.4,46526,5,142,1977.38436073059,1529,1977,0.664319454837534,-0.747448768762356,"WS","A","9","9","A",NA,"06805565"
1977-07-25,6.3,6.3,1,6.3,46591,7,207,1977.56244292237,1531,1977,-0.382352077493553,-0.924016714587114,"WS","A","9","9","A",NA,"06805565"
