"","vec"
"1",49491.8648731045
"2",43336.621408351
"3",41886.7827809281
"4",44280.1543010656
"5",37803.6063051437
"6",37588.195013498
"7",37933.6711571086
"8",34248.1511116555
"9",32336.3942759091
"10",40687.4075586729
"11",34358.6995208969
"12",39933.2233628024
"13",37054.2675924063
"14",40368.5865702968
"15",41777.3283669004
"16",62031.5095695229
"17",47179.7031220794
"18",41588.0629378039
"19",49077.0403476458
"20",47462.2154930229
"21",45784.5254589795
"22",25503.5433116032
"23",43710.9027519419
"24",49829.66555774
"25",44334.4993660304
"26",37658.8475339197
"27",28780.334309796
"28",49011.7351312618
"29",39313.1787125291
"30",43940.5599278466
"31",41703.9600436944
"32",44140.9078346502
"33",33279.8860222677
"34",36440.0072707204
"35",40452.526891583
"36",49121.0021417058
"37",25955.2856146251
"38",58877.9527657556
"39",47242.2603242206
"40",32281.6893968955
"41",44457.5721338609
"42",40310.5183423395
"43",42607.0807225232
"44",32342.4427355442
"45",39324.8025879936
"46",48829.1575173086
"47",39489.0802930574
"48",52421.4025880729
"49",45610.4960389308
"50",36764.3706152946
"51",33268.088029022
"52",59061.9559172835
"53",49689.9863810286
"54",39845.3667774819
"55",35474.9040810166
"56",34399.2116501677
"57",42726.7294405664
"58",42866.3616419804
"59",53519.2332612909
"60",46210.1382280344
"61",41427.0219927362
"62",35218.1631463327
"63",43229.3069013701
"64",35071.8949575227
"65",41488.3710002134
"66",44131.7093995978
"67",44990.9356540009
"68",47365.7364789484
"69",38328.0748674742
"70",45608.8085999514
"71",30800.6170922439
"72",38394.3519260319
"73",35691.280024926
"74",46786.5411240975
"75",25722.6852865987
"76",41337.7283704062
"77",31002.2160104063
"78",37220.4591739621
"79",34854.8359500588
"80",42581.8556368883
"81",40842.5722541235
"82",40900.8537481602
"83",43955.7491910975
"84",43346.2970913665
"85",44317.8949866265
"86",53619.8018973364
"87",40939.4363893604
"88",47325.1789271161
"89",40266.6312136442
"90",43476.4325558582
"91",40840.3667015757
"92",39864.7410636177
"93",43191.7915293019
"94",35267.4220752218
"95",40692.3483605105
"96",43456.8967037907
"97",38549.5161440611
"98",80125.6434742728
"99",47388.1684791239
"100",41725.3768901907
"101",33034.0347254011
"102",25296.5743255431
"103",29427.9670358626
"104",52059.8698665387
"105",28928.7150801158
"106",42966.7547255631
"107",39622.854164834
"108",40172.1773791469
"109",39270.7692636772
"110",44883.9688776757
"111",45266.1582107316
"112",40802.0275811291
"113",38307.0495227145
"114",35712.0022587378
"115",51153.0079452175
"116",41970.8843067507
"117",38076.1587491141
"118",44864.8855470587
"119",41623.4152695205
"120",45015.2044826686
"121",38454.4384434342
"122",42417.0733120585
"123",31952.8387792957
"124",49623.9806218441
"125",53737.2164913927
"126",45913.6552838287
"127",46065.3662461984
"128",44743.3436813968
"129",49950.1705462764
"130",47569.1221293761
"131",41400.6026042159
"132",37178.7858342956
"133",50330.9785788943
"134",50959.9135648761
"135",28699.8148035586
"136",41106.7826533031
"137",33180.6013804477
"138",38096.0063713083
"139",33301.5280318077
"140",43793.4439912872
"141",33188.9581142021
"142",33104.8861354758
"143",35366.4082609351
"144",45102.8080114542
"145",37391.7356250387
"146",41048.2807481782
"147",40366.7300380282
"148",42987.6609190955
"149",38118.5613015402
"150",45549.1746431806
"151",38165.8584670648
"152",36384.3312997335
"153",38702.8965632789
"154",43720.1575530193
"155",32752.3255287143
